Excel файл;Название показателя;Код показателя;Excel колонка 2022;Excel колонка 2023;Ключевое слово 2022;Ключевое слово 2023
S25_000000_t01Ved14.xlsx;Валюта баланса;ValBal;3;4;"""2022"",""предыдущий"",""Валюта баланса""";"""2023"",""конец"",""Валюта баланса"""
S25_000000_t01Ved14.xlsx;Внеоборотные активы;VneAkt;5;6;"""2022"",""предыдущий"",""Внеоборотные активы""";"""2023"",""конец"",""Внеоборотные активы"""
S25_000000_t01Ved14.xlsx;Оборотные активы;OboAkt;7;8;"""2022"",""предыдущий"",""Оборотные активы""";"""2023"",""конец"",""Оборотные активы"""
S25_000000_t01Ved14.xlsx;Капитал и резервы;KapIRez;9;10;"""2022"",""предыдущий"",""Капитал и резервы""";"""2023"",""конец"",""Капитал и резервы"""
S25_000000_t01Ved14.xlsx;Долгосрочные обязательства;DolOby;11;12;"""2022"",""предыдущий"",""Долгосрочные обязательства""";"""2023"",""конец"",""Долгосрочные обязательства"""
S25_000000_t01Ved14.xlsx;Краткосрочные обязательства;KraOby;13;14;"""2022"",""предыдущий"",""Краткосрочные обязательства""";"""2023"",""конец"",""Краткосрочные обязательства"""
S25_000000_t01Ved14.xlsx;Валюта баланса убыточных организаций, на конец года итог актива убыточных организаций;ValBalUbyOrgNaKonGoItAktUbyOrg;15;;Валюта баланса убыточных организаций, на конец года итог актива убыточных организаций;Валюта баланса убыточных организаций, на конец года итог актива убыточных организаций
S25_000000_t01Ved14.xlsx;Валюта баланса убыточных организаций, на конец года в % к валюте баланса;ValBalUbyOrgNaKonGoV%KValBal;16;;Валюта баланса убыточных организаций, на конец года в % к валюте баланса;Валюта баланса убыточных организаций, на конец года в % к валюте баланса
S25_000000_t01Ved14mo8.xlsx;Валюта баланса;ValBal_1;3;4;"""2022"",""предыдущий"",""Валюта баланса""";"""2023"",""конец"",""Валюта баланса"""
S25_000000_t01Ved14mo8.xlsx;Внеоборотные активы;VneAkt_1;5;6;"""2022"",""предыдущий"",""Внеоборотные активы""";"""2023"",""конец"",""Внеоборотные активы"""
S25_000000_t01Ved14mo8.xlsx;Оборотные активы;OboAkt_1;7;8;"""2022"",""предыдущий"",""Оборотные активы""";"""2023"",""конец"",""Оборотные активы"""
S25_000000_t01Ved14mo8.xlsx;Капитал и резервы;KapIRez_1;9;10;"""2022"",""предыдущий"",""Капитал и резервы""";"""2023"",""конец"",""Капитал и резервы"""
S25_000000_t01Ved14mo8.xlsx;Долгосрочные обязательства;DolOby_1;11;12;"""2022"",""предыдущий"",""Долгосрочные обязательства""";"""2023"",""конец"",""Долгосрочные обязательства"""
S25_000000_t01Ved14mo8.xlsx;Краткосрочные обязательства;KraOby_1;13;14;"""2022"",""предыдущий"",""Краткосрочные обязательства""";"""2023"",""конец"",""Краткосрочные обязательства"""
S25_000000_t01Ved14mo8.xlsx;Валюта баланса убыточных организаций, на конец года итог актива убыточных организаций;ValBalUbyOrgNaKonGoItAktUbyOrg_1;15;;Валюта баланса убыточных организаций, на конец года итог актива убыточных организаций;Валюта баланса убыточных организаций, на конец года итог актива убыточных организаций
S25_000000_t01Ved14mo8.xlsx;Валюта баланса убыточных организаций, на конец года в % к валюте баланса;ValBalUbyOrgNaKonGoV%KValBal_1;16;;Валюта баланса убыточных организаций, на конец года в % к валюте баланса;Валюта баланса убыточных организаций, на конец года в % к валюте баланса
S25_000000_t03Ved14.xlsx;Внеоборотные активы;VneAkt_2;3;4;Внеоборотные активы;Внеоборотные активы
